	title	artist	album	albumArtist	likeStatus	averageRating	albumYear	albumType	duration_seconds
50LPTiI-0eY	Rainy Day Mushroom Pillow	Strawberry Alarm Clock	Incense And Peppermints	Strawberry Alarm Clock	LIKE		1967.0	Album	
7Aze726qAwA	Ballroom Blitz	Sweet	Desolation Boulevard	Sweet	LIKE		1974.0	Album	
-gKwQyHycYY	Shelter Song	Temples	Sun Structures	Temples	LIKE		2014.0	Album	
K48CNMRf-aQ	Shelter Song	Temples	Sun Structures (Deluxe Version)	Temples	LIKE	4.6936669	2014.0	Album	
QKOL8XehVSg	Sixteen Tons	Tennessee Ernie Ford	Country Gold - 101 Classic Tracks	Various Artists	LIKE		2018.0	Album	
4nd3h3lQtb8	Bring It On Home To Me	The Animals	Retrospective	The Animals	LIKE		1965.0	Album	
kRUUocEbUAo	Snake In The Grass	The Black Angels	Directions to See a Ghost	The Black Angels	LIKE	4.6078429	2004.0	Album	
ip3LcB0zlE4	Doves	The Black Angels	Directions to See a Ghost	The Black Angels	LIKE		2004.0	Album	269.0
CpW_toqriX4	Kind of a Drag	The Buckinghams	Pop Classics Of The 60's	Various Artists	LIKE		1989.0	Album	
FoiZyOm0AWI	I Knew I'd Want You	The Byrds	Mr. Tambourine Man	The Byrds	LIKE		1992.0	Album	
9EiHojlaWrE	So You Want to Be a Rock 'N' Roll Star	The Byrds	Younger Than Yesterday	The Byrds	LIKE		1967.0	Album	
QSWZ9owqF-c	Cool Jerk	The Capitols	Atlantic R&B Hits of the Sixties	Various Artists	LIKE		2016.0	Album	
cUCD6oERx58	Cool Jerk	The Capitols	Oldies - Doo Wop	Various Artists	LIKE		2017.0	Album	
H_sYWknjU7Y	Till Then	The Classics	Golden Oldies	The Classics	LIKE		2008.0	Album	139.0
zy67MKrPpSs	Anything Could Happen	The Clean	Compilation	The Clean	LIKE		1986.0	Album	
xNj16uc8S1o	(I Want You) More Than Ever	The Clientele	Suburban Light	The Clientele	LIKE		2000.0	Album	184.0
S7Yh6JesB-4	Fool Fool Fool	The Clovers	Doo Wop Classics Vol. 5	Various Artists	LIKE		2003.0	Album	154.0
KQHJ4bpHfF8	Fool Fool Fool	The Clovers	Down In The Alley: The Best Of The Clovers	The Clovers	INDIFFERENT		1991.0	Album	
QMgTmgmBGnc	Devil or Angel	The Clovers	The Clovers	The Clovers	LIKE		1956.0	Album	
TNMtsR8W50I	Sixteen Candles	The Crests	Sixteen Candles	The Crests	LIKE		1958.0	Single	166.0
HAR1drk9ZAk	Gee	The Crows	Doo Wop Classics Vol. 1	Various Artists	LIKE		2003.0	Album	137.0
nTGHlugzf-w	Godless	The Dandy Warhols	Thirteen Tales From Urban Bohemia	The Dandy Warhols	LIKE		2000.0	Album	320.0
pqpUwR84Nmg	Wintertime Love	The Doors	Waiting For The Sun	The Doors	LIKE	4.5352774	1968.0	Album	
xkqxuWriaO4	I Only Have Eyes for You	The Flamingos	Doo Wop Classics Vol. 7	Various Artists	LIKE		2009.0	Album	
1_urvud-Oi0	I Only Have Eyes for You	The Flamingos	Flamingo Serenade	The Flamingos	LIKE		2014.0	Album	
GcMwEmJJzrw	I Only Have Eyes for You	The Flamingos	The Best of The Flamingos	The Flamingos	LIKE		2015.0	Album	205.0
pM9e8nNXYVI	Name	The Goo Goo Dolls	A Boy Named Goo	The Goo Goo Dolls	LIKE	4.7653456	1995.0	Album	
w369aBf5SF4	Midnight Confessions	The Grass Roots	Lovin' Things	The Grass Roots	LIKE		1969.0	Album	
6I8F_oPhO8U	A Thousand Miles Away	The Heartbeats	Doo Wop Sounds Once Again, Vol. 5	Various Artists	LIKE		2015.0	Album	147.0
BLmJ9q8ozeE	A Thousand Miles Away	The Heartbeats	Ourtown Oldies Classics Volume 2	Various Artists	LIKE		2012.0	Album	148.0
f3HpZNE1Z9k	Nobody But Me	The Human Beinz	Nobody But Me	The Human Beinz	LIKE		1968.0	Album	
RPsx1094ax8	My True Story	The Jive Five	Their Greatest Hits	The Jive Five	LIKE		1990.0	Album	
qDfrW5cWqMU	Walk Away Renee	The Left Banke	Walk Away Renée/Pretty Ballerina	The Left Banke	LIKE		1967.0	Album	
f96ly3xGe4k	Green Tambourine	The Lemon Pipers	Green Tambourine	The Lemon Pipers	LIKE		1968.0	Album	
U7ofnHmxE-I	Summer in the City	The Lovin' Spoonful	Greatest Hits	The Lovin' Spoonful	LIKE		2000.0	Album	
cIO-s2rkKx4	Sleep On The Floor	The Lumineers	Cleopatra	The Lumineers	LIKE		2016.0	Album	211.0
RyZNIw_IHpo	Cariño	The Marías	Superclean, Vol. II	The Marías	LIKE		2018.0	EP	259.0
x8TBs-UZhEI	Hang on Sloopy	The McCoys	Hang on Sloopy	The McCoys	LIKE		2015.0	Album	182.0
7hoEeirUkfQ	If I Were A Bell (Rudy Van Gelder Remaster)	The Miles Davis Quintet	Relaxin' With The Miles Davis Quintet	The Miles Davis Quintet	INDIFFERENT		2006.0	Album	
yYd1bwieMi0	If I Were A Bell (Rudy Van Gelder Remaster)	The Miles Davis Quintet	Relaxin' With The Miles Davis Quintet	The Miles Davis Quintet	LIKE		1987.0	Album	498.0
aG9MBS0fjyE	Daydream Believer	The Monkees	The Birds, The Bees, & The Monkees	The Monkees	LIKE		1968.0	Album	
RCdq8gRA2l0	Sincerely	The Moonglows	Their Greatest Hits: The Chess 50th Anniversary Collection	The Moonglows	LIKE		1997.0	Album	
pOSGgOnShLM	Gotta Get Away	The Offspring	Smash (2008 Remaster)	The Offspring	LIKE		1994.0	Album	
V92CRYaOQCI	Come Out and Play	The Offspring	Smash (2008 Remaster)	The Offspring	LIKE		1994.0	Album	
