	title	trackCount	privacy	id
97	xr PsychedelicRock	1112.0	PUBLIC	PLWptjpDqazOz9b2Ge7-PNSYxcGGtBa03X
333	xr PostRock radio	373.0	PRIVATE	PLWptjpDqazOxU9ZC6-aHWeq4ZNnEzCbYR
319	xr PostRock albums	188.0		PLWptjpDqazOzcQ1BO8fqTlSZM1SVElySE
126	xr OutlawCountry	106.0		PLWptjpDqazOyuagMuSDaPHqWMQN9eMwzw
334	xr OldskoolRave radio	361.0		PLWptjpDqazOw0SVUCMnfmTrx5PTtMONgi
335	xr OldiesMusic radio	272.0		PLWptjpDqazOyqF8UVO6sqniyY-4BlFSnJ
194	xr OldElectronicMusic radio	608.0		PLWptjpDqazOwKNKAmGaCj-H3g8pOOYSuA
146	xr OldElectronicMusic	106.0		PLWptjpDqazOzzlHQ8Uk_Wn5_X26BVsx-u
306	xr ModernRockMusic radio	364.0		PLWptjpDqazOyqRm_Sz8aRGLwoHJ-eQw-x
336	xr ModernRockMusic	23.0		PLWptjpDqazOw_YFtv-rqg7-I-XjHLmEY9
337	xr MelancholyMusic radio	251.0		PLWptjpDqazOxEqxeykeLml61kBg61EDxe
338	xr MelancholyMusic	43.0		PLWptjpDqazOwDJj1xhKgLsNPRiGJaWJBE
131	xr Instrumentals radio	141.0		PLWptjpDqazOxJEL4nOTL5VufEHStGi_D5
196	xr IndieFolk radio	562.0		PLWptjpDqazOy8CX1mKkxFLvCUsRmhZsKh
455	xr HeadNodders radio	132.0		PLWptjpDqazOyqVztZW7UcBYG43OGjTyVE
432	xr HeadNodders	29.0	PUBLIC	PLWptjpDqazOzwxROuS5wrvJ_GcdiCbSVZ
339	xr Flamenco radio	93.0		PLWptjpDqazOyJkJt8JG3n_P0RvOszNdwN
198	xr Exotica radio	111.0		PLWptjpDqazOysI2Dp5IgFhSX_gizA5Oi1
275	xr Exotica	111.0		PLWptjpDqazOwfCBiFXVhhw0l3tFOBuiC5
124	xr Elephant6 radio	263.0		PLWptjpDqazOyCkLsGcBRaF_2BXLgNbZdB
16	xr Elephant6	136.0		PLWptjpDqazOyL3pzna7RXkF5mvWXudVJL
199	xr ElectronicMusic radio	499.0	PRIVATE	PLWptjpDqazOwE5TEpQXQW66bD8p-yUaAu
200	xr DreamPop radio	834.0		PLWptjpDqazOzTmTFu__bQXSk77MGqE4jE
160	xr DreamPop	200.0		PLWptjpDqazOwfe_nRFQn18i6R12uQzvUh
128	xr DoomMetal radio	125.0		PLWptjpDqazOwCR-iB-2uRFyYAefCGwwA8
265	xr BinauralMusic radio	31.0		PLWptjpDqazOwg0uL9JgZpUWJK58HlV7_E
170	xr AtmosphericDnB radio	352.0		PLWptjpDqazOznxVQ9JuSWiXPTTReBjARa
220	xr AfricanMusic radio	284.0		PLWptjpDqazOzWYKS7u-JjoZGmzE7E0aT-
175	xr 90shiphop albums	603.0	PRIVATE	PLWptjpDqazOzDOIhVuC4HFb6AjIEMzBJY
174	xr 90shiphop	204.0		PLWptjpDqazOxVOZ4LC-HoUM7tcRbbDQnO
269	xr 90sRock	284.0		PLWptjpDqazOxGLrsXrjSkxjLjbXSLOYyo
204	xr 90sPunk radio	568.0		PLWptjpDqazOw9jR4vJ4hxYjWSRcfKXDw2
362	xr 90sPunk	30.0		PLWptjpDqazOxKU9mR3l0NYyaExRE9oNXM
340	xr 90sMusic radio	359.0		PLWptjpDqazOxSkjANK2Sw-lpiK1TgEaWN
28	xr 90sMusic	245.0		PLWptjpDqazOxdu65jPKja9Xl4mbZUMue3
341	xr 90sAlternative radio	607.0		PLWptjpDqazOzLqT6_7y3lVte3MeYLFptb
293	xr 80sMusic radio	299.0		PLWptjpDqazOyQojTD7kd02eUVoYEHKGew
46	xr 80sMusic	180.0		PLWptjpDqazOzghbwsfgt5t0h2BBaf-RyR
342	xr 80sHipHop radio	280.0		PLWptjpDqazOyKAKXdPbM_3VIngh4EN4Vx
433	xr 80sHipHop	31.0		PLWptjpDqazOxMtDLxJkybVUWA_M1mh3Wx
206	xr 70sMusic radio	131.0		PLWptjpDqazOzBY8ZXXdtCf4qBJPrw6gzU
