videoId	title	album	artist
Q808lTL8zUs	Prelude / Angry Young Man	Turnstiles	Billy Joel
ZQ_m236f_eM	Only the Good Die Young	The Stranger	Billy Joel
qIe1lW5MwXI	Flyin' Saucers Rock 'n' Roll	Flyin' Saucers Rock 'n' Roll / I Want You Baby	Billy Lee Riley
qIfwcYmk8Ew	Flyin' Saucers Rock 'n' Roll	Sun Records - The Definitive Hits, Vol. 1	Billy Lee Riley
lJ4iXwCHZ-s	Flyin' Saucers Rock 'n' Roll	Simply Rock'n'Roll Vol. Four	Billy Lee Riley
Sag-t1Nq6VI	Will It Go Round In Circles (Live/UK Version)	Live European Tour (Deluxe Edition)	Billy Preston
W1TmIhddn0c	Will It Go Round In Circles	Music Is My Life	Billy Preston
5KOUEX_oG9k	The Stroke	Don't Say No	Billy Squier
Ws5FuyHd_4E	I Do Love You	I Do Love You	Billy Stewart
ZEPsD4sHwGA	Fallen Leaves	Billy Talent II	Billy Talent
_YL7ALghfi8	Children Of The Sun	Children Of The Sun...Revisited	Billy Thorpe
uPE3uaPMkUE	I'm Gonna Sit Right Down And Write Myself A Letter	You've Got Mail	Billy Williams
FU5uNxI8WiI	Lovers Leap	Miracle	Bim Sherman
oCNRRe8v9bw	Danger	Discoplates Part 1	Bim Sherman with Singers & Players
9k8Oy_BuSkY	Peace On Earth / Little Drummer Boy	Peace On Earth / Little Drummer Boy	Bing Crosby
NYYtnYaASJ4	Talk to God	Back With a Vengeance	"Bishop Ralph ""Donnie"" Graves"
OBoaHfqP96Y	Destination Sunrise (Club Remix) (feat. NEFE)	Destination Sunrise	Bit Funk
B0bGltAwpcY	Wish A N'gga Would	Synth Or Soul	Black Milk
NKUHSRPlyDc	The Knock	The Rebellion Sessions	Black Milk & Nat Turner
NA5LafBBA5w	I Got Cha Opin	Enta Da Stage	Black Moon
xQowZMwWi9k	Headz Ain't Redee (Original Buckshot Mix)	Headz Ain't Redee	Black Moon
p5g6_515eUM	The Hair Song	Wilderness Heart	Black Mountain
srL62232k8E	Old Fangs	Wilderness Heart	Black Mountain
bzrDj2uKDkU	Hey Ya'll	Live Mutha!	Black Oak Arkansas
z-eXetLO3gE	Rival	Specter At the Feast	Black Rebel Motorcycle Club
